app,status,app_type,completion_goal,product_source,title,price,tags,description,github_release,zip,thumbnail,screenshot,missing
DAKE_App_Doko,available,,,booth_ready/booth_product.txt,OK,OK,OK,OK,OK,DakeApp_Doko.zip,booth_thumbnail.jpg,screenshot.webp,
DAKE_Backup,available,,,booth_ready/booth_product.txt,OK,OK,OK,OK,OK,DakeBackup.zip,booth_thumbnail.jpg,screenshot.webp,
DAKE_BOOTH_Assist,available,,,booth_ready/booth_product.txt,OK,OK,OK,OK,OK,DakeBOOTH_Assist.zip,booth_thumbnail.jpg,screenshot.webp,
DAKE_Column_Memo,available,,,booth_ready/booth_product.txt,OK,OK,OK,OK,OK,DakeColumn_Memo.zip,booth_thumbnail.jpg,screenshot.webp,
DAKE_Document_Cover,available,,,booth_ready/booth_product.txt,OK,OK,OK,OK,OK,DakeDocument_Cover.zip,booth_thumbnail.jpg,screenshot.webp,
DAKE_FAX_Cover,available,,,booth_ready/booth_product.txt,OK,OK,OK,OK,OK,DakeFAX_Cover.zip,booth_thumbnail.jpg,screenshot.webp,
DAKE_Folder_List,available,,,booth_ready/booth_product.txt,OK,OK,OK,OK,OK,DakeFolder_List.zip,booth_thumbnail.jpg,screenshot.webp,
DAKE_Git_Memo,available,,,booth_ready/booth_product.txt,OK,OK,OK,OK,OK,DakeGit_Memo.zip,booth_thumbnail.jpg,screenshot.webp,
DAKE_Image_HEICtoJPG,available,,,booth_ready/booth_product.txt,OK,OK,OK,OK,OK,DakeHEIC_JPG.zip,booth_thumbnail.jpg,screenshot.webp,
DAKE_Image_iPhoneToPC,available,,,booth_ready/booth_product.txt,OK,OK,OK,OK,OK,DakeImage_iPhoneToPC.zip,booth_thumbnail.jpg,screenshot.webp,
DAKE_Image_PasteA4,available,,,booth_ready/booth_product.txt,OK,OK,OK,OK,OK,DakeImage_PasteA4.zip,booth_thumbnail.jpg,screenshot.webp,
DAKE_Image_Receiver,available,,,booth_ready/booth_product.txt,OK,OK,OK,OK,OK,DakeImage_Receiver.zip,booth_thumbnail.jpg,screenshot.webp,
