app,status,shipping_candidate,legacy_closed,v2_closed,asset_ready,release_url,booth_url_state,booth_url,show_in_launcher,show_on_site,flag_conflict,readme,dake_meta,release_body,screenshot,thumbnail,booth_product,booth_ready,zip,build_bat,main_py,dist_exe,icon_build,icon_main,release_json,release_stage,video_local_path,demo_video,social_posts,social_posts_valid,social_forbidden_links,social_release,social_stage,social_draft_ready,social_buffer_ready,v2_pending_reason,buffer_x_id,buffer_threads_id,buffer_instagram_id,requested_social_channels,source_kind,source_path,original_missing,meta_derivative_mismatch,actions
DAKE_App_Dashboard,internal,False,False,False,False,,booth_product_missing,,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,True,False,,,False,False,False,False,False,,False,False,"legacy, capture, social_draft, social_buffer",False,False,False,"x,threads,instagram",readme_fallback,01_apps/DAKE_App_Dashboard/README.md,True,,original_missing; excluded from regular shipping check
DAKE_App_Doko,available,True,True,False,True,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_App_Doko_v1.0.0,set,https://peakheadz.booth.pm/items/8447573,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,,,False,False,False,False,False,,False,False,"capture, social_draft, social_buffer",False,False,False,"x,threads,instagram",original,01_apps/DAKE_App_Doko/ORIGINAL.md,False,,capture operation evidence with tools/release_capture.py; generate SNS dry-run posts with tools/release_social.py; create SNS Buffer posts with tools/release_social.py --post-to-buffer
DAKE_Approve_Brainz,frozen,False,False,False,False,,empty,,False,False,False,True,True,True,False,False,True,True,True,True,True,True,True,True,False,,,False,False,False,False,False,,False,False,"legacy, capture, social_draft, social_buffer",False,False,False,"x,threads,instagram",readme_fallback,01_apps/DAKE_Approve_Brainz/README.md,True,,original_missing; excluded from regular shipping check
DAKE_Backup,available,True,True,False,True,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Backup_v1.0.0,set,https://peakheadz.booth.pm/items/8447578,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,,,False,False,False,False,False,,False,False,"capture, social_draft, social_buffer",False,False,False,"x,threads,instagram",original,01_apps/DAKE_Backup/ORIGINAL.md,False,,capture operation evidence with tools/release_capture.py; generate SNS dry-run posts with tools/release_social.py; create SNS Buffer posts with tools/release_social.py --post-to-buffer
DAKE_BGM_Loop,frozen,False,False,False,False,,empty,,False,False,False,True,True,True,False,False,True,True,True,True,True,True,True,True,False,,,False,False,False,False,False,,False,False,"legacy, capture, social_draft, social_buffer",False,False,False,"x,threads,instagram",readme_fallback,01_apps/DAKE_BGM_Loop/README.md,True,,original_missing; excluded from regular shipping check
DAKE_BOOTH_Assist,available,True,True,False,True,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_BOOTH_Assist_v1.0.0,set,https://peakheadz.booth.pm/items/8447580,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,,,False,False,False,False,False,,False,False,"capture, social_draft, social_buffer",False,False,False,"x,threads,instagram",original,01_apps/DAKE_BOOTH_Assist/ORIGINAL.md,False,,capture operation evidence with tools/release_capture.py; generate SNS dry-run posts with tools/release_social.py; create SNS Buffer posts with tools/release_social.py --post-to-buffer
DAKE_Brainz_OIKAWA,frozen,False,False,False,False,,empty,,False,False,False,True,True,True,False,False,True,True,True,True,True,True,True,True,False,,,False,False,False,False,False,,False,False,"legacy, capture, social_draft, social_buffer",False,False,False,"x,threads,instagram",readme_fallback,01_apps/DAKE_Brainz_OIKAWA/README.md,True,,original_missing; excluded from regular shipping check
DAKE_Brainz_Search,frozen,False,False,False,False,,empty,,False,False,False,True,True,True,False,False,True,True,True,True,True,True,True,True,False,,,False,False,False,False,False,,False,False,"legacy, capture, social_draft, social_buffer",False,False,False,"x,threads,instagram",readme_fallback,01_apps/DAKE_Brainz_Search/README.md,True,,original_missing; excluded from regular shipping check
DAKE_Column_Memo,available,True,True,False,True,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Column_Memo_v1.0.0,set,https://peakheadz.booth.pm/items/8447582,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,,,False,False,False,False,False,,False,False,"capture, social_draft, social_buffer",False,False,False,"x,threads,instagram",original,01_apps/DAKE_Column_Memo/ORIGINAL.md,False,,capture operation evidence with tools/release_capture.py; generate SNS dry-run posts with tools/release_social.py; create SNS Buffer posts with tools/release_social.py --post-to-buffer
DAKE_Document_Cover,available,True,True,False,True,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Document_Cover-v1.0.0,set,https://peakheadz.booth.pm/items/8447586,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,,,False,False,False,False,False,,False,False,"capture, social_draft, social_buffer",False,False,False,"x,threads,instagram",original,01_apps/DAKE_Document_Cover/ORIGINAL.md,False,,capture operation evidence with tools/release_capture.py; generate SNS dry-run posts with tools/release_social.py; create SNS Buffer posts with tools/release_social.py --post-to-buffer
