kind,folder,display_name,status,app_type,completion_goal,state,booth_url,root_booth_url,ready_booth_url,release_url,root_product,ready_product,booth_ready,zip,thumbnail,screenshot,note
app,01_apps/DAKE_App_Dashboard,DAKE Dashboard,internal,qpcs,system_ready,SKIPPED_STATUS,,,,,no,no,no,no,no,no,status=internal; app_type=qpcs
app,01_apps/DAKE_App_Doko,アプリどこ,available,,,REGISTERED,https://peakheadz.booth.pm/items/8447573,,https://peakheadz.booth.pm/items/8447573,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_App_Doko_v1.0.0,yes,yes,yes,yes,yes,yes,
app,01_apps/DAKE_Approve_Brainz,承認Brainz,frozen,,,SKIPPED_STATUS,,,,,no,yes,yes,yes,no,no,status=frozen
app,01_apps/DAKE_Backup,Dakeバックアップ,available,,,REGISTERED,https://peakheadz.booth.pm/items/8447578,,https://peakheadz.booth.pm/items/8447578,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Backup_v1.0.0,yes,yes,yes,yes,yes,yes,
app,01_apps/DAKE_BGM_Loop,Dake BGM Loop,frozen,,,SKIPPED_STATUS,,,,,no,yes,yes,yes,no,no,status=frozen
app,01_apps/DAKE_BOOTH_Assist,BOOTHアシスト,available,,,REGISTERED,https://peakheadz.booth.pm/items/8447580,,https://peakheadz.booth.pm/items/8447580,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_BOOTH_Assist_v1.0.0,no,yes,yes,yes,yes,yes,
app,01_apps/DAKE_Brainz_OIKAWA,OIKAWA,frozen,qpcs,reference_ready,SKIPPED_STATUS,,,,,no,yes,yes,yes,no,no,status=frozen; app_type=qpcs
app,01_apps/DAKE_Brainz_Search,補助脳BRAINZ,frozen,qpcs,reference_ready,SKIPPED_STATUS,,,,,no,yes,yes,yes,no,no,status=frozen; app_type=qpcs
app,01_apps/DAKE_Column_Memo,ずっとメモ,available,,,REGISTERED,https://peakheadz.booth.pm/items/8447582,,https://peakheadz.booth.pm/items/8447582,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Column_Memo_v1.0.0,yes,yes,yes,yes,yes,yes,
app,01_apps/DAKE_Document_Cover,Dake書類送付状,available,,,REGISTERED,https://peakheadz.booth.pm/items/8447586,,https://peakheadz.booth.pm/items/8447586,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Document_Cover-v1.0.0,yes,yes,yes,yes,yes,yes,
app,01_apps/DAKE_FAX_Cover,DakeFAX送付状,available,,,REGISTERED,https://peakheadz.booth.pm/items/8447589,,https://peakheadz.booth.pm/items/8447589,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_FAX_Cover_v1.0.0,yes,yes,yes,yes,yes,yes,
app,01_apps/DAKE_Folder_List,Dakeフォルダ一覧,available,,,REGISTERED,https://peakheadz.booth.pm/items/8447591,,https://peakheadz.booth.pm/items/8447591,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Folder_List_v1.0.0,yes,yes,yes,yes,yes,yes,
app,01_apps/DAKE_Game_Alien_Road,DakeAlien Road,available,market,formal_release,REGISTERED,https://peakheadz.booth.pm/items/8449213,https://peakheadz.booth.pm/items/8449213,https://peakheadz.booth.pm/items/8449213,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Game_Alien_Road_v1.0.0,yes,yes,yes,yes,yes,yes,
app,01_apps/DAKE_Game_Diver_Catch,Dake潜って捕る,available,market,formal_release,REGISTERED,https://peakheadz.booth.pm/items/8449218,https://peakheadz.booth.pm/items/8449218,https://peakheadz.booth.pm/items/8449218,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Game_Diver_Catch_v1.0.0,yes,yes,yes,yes,yes,yes,
app,01_apps/DAKE_Game_ShimarisuRealEstate,Dakeしまりす不動産,prototype,,,SKIPPED_STATUS,,,,,no,no,no,no,no,no,status=prototype
app,01_apps/DAKE_Git_Memo,DakeGitメモ,available,,,REGISTERED,https://peakheadz.booth.pm/items/8447593,,https://peakheadz.booth.pm/items/8447593,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Git_Memo_v1.0.0,yes,yes,yes,yes,yes,yes,
app,01_apps/DAKE_HolidayJinja_Post,holiday-jinja 投稿DAKE,internal,,,SKIPPED_STATUS,,,,,no,yes,yes,yes,yes,yes,status=internal
app,01_apps/DAKE_Image_HEICtoJPG,HEIC→JPG変換,available,,,REGISTERED,https://peakheadz.booth.pm/items/8447596,,https://peakheadz.booth.pm/items/8447596,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Image_HEICtoJPG_v1.0.0,yes,yes,yes,yes,yes,yes,
app,01_apps/DAKE_Image_iPhoneToPC,Dake画像iPhoneToPC,available,,,REGISTERED,https://peakheadz.booth.pm/items/8447598,,https://peakheadz.booth.pm/items/8447598,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Image_iPhoneToPC_v1.0.0,yes,yes,yes,yes,yes,yes,
app,01_apps/DAKE_Image_PasteA4,貼る,available,,,REGISTERED,https://peakheadz.booth.pm/items/8397628,,https://peakheadz.booth.pm/items/8397628,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Image_PasteA4_v1.0.0,yes,yes,yes,yes,yes,yes,
app,01_apps/DAKE_Image_Receiver,DakeImage_Receiver,available,,,REGISTERED,https://peakheadz.booth.pm/items/8447600,,https://peakheadz.booth.pm/items/8447600,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Image_Receiver_v1.0.0,yes,yes,yes,yes,yes,yes,
app,01_apps/DAKE_Image_Resize,Dake画像リサイズ,available,,,REGISTERED,https://peakheadz.booth.pm/items/8397622,,https://peakheadz.booth.pm/items/8397622,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Image_Resize_v1.0.0,yes,yes,yes,yes,yes,yes,
app,01_apps/DAKE_Image_ToPDF,DakeImageToPDF,available,,,REGISTERED,https://peakheadz.booth.pm/items/8397610,,https://peakheadz.booth.pm/items/8397610,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Image_ToPDF_v1.0.0,yes,yes,yes,yes,yes,yes,
app,01_apps/DAKE_Launcher,Dakeランチャー,available,,,REGISTERED,https://peakheadz.booth.pm/items/8447994,,https://peakheadz.booth.pm/items/8447994,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Launcher_v1.0.0,yes,yes,yes,yes,yes,yes,
app,01_apps/DAKE_Mail_Address_Format,Dakeメールアドレス整形,available,,,REGISTERED,https://peakheadz.booth.pm/items/8447996,,https://peakheadz.booth.pm/items/8447996,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Mail_Address_Format_v1.0.0,yes,yes,yes,yes,yes,yes,
app,01_apps/DAKE_Mail_AllStaff,Dake全社員メール起動,available,,,REGISTERED,https://peakheadz.booth.pm/items/8447998,,https://peakheadz.booth.pm/items/8447998,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Mail_AllStaff_v1.0.0,yes,yes,yes,yes,yes,yes,
app,01_apps/DAKE_Mail_Draft,Dakeメール下書き,available,,,REGISTERED,https://peakheadz.booth.pm/items/8448001,,https://peakheadz.booth.pm/items/8448001,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Mail_Draft_v1.0.0,yes,yes,yes,yes,yes,yes,
app,01_apps/DAKE_Mail_Kikuta,Dake菊田メール,available,,,REGISTERED,https://peakheadz.booth.pm/items/8448003,,https://peakheadz.booth.pm/items/8448003,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Mail_Kikuta_v1.0.0,yes,yes,yes,yes,yes,yes,
app,01_apps/DAKE_Mail_List,Dakeメールリスト,available,,,REGISTERED,https://peakheadz.booth.pm/items/8448014,,https://peakheadz.booth.pm/items/8448014,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Mail_List_v1.0.0,yes,yes,yes,yes,yes,yes,
app,01_apps/DAKE_Maji_Memo,マジでメモ,available,,,REGISTERED,https://peakheadz.booth.pm/items/8448021,,https://peakheadz.booth.pm/items/8448021,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Maji_Memo_v1.0.0,yes,yes,yes,yes,yes,yes,
app,01_apps/DAKE_Mansion_Schedule,マンション工程表,available,,,REGISTERED,https://peakheadz.booth.pm/items/8448169,,https://peakheadz.booth.pm/items/8448169,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Mansion_Schedule_v1.0.0,yes,yes,yes,yes,yes,yes,
app,01_apps/DAKE_Music_Otooku,音を置く,frozen,,,SKIPPED_STATUS,,,,,no,yes,yes,yes,no,no,status=frozen
app,01_apps/DAKE_Note_Inbox,DAKE_Note_Inbox,unknown,,,SKIPPED_STATUS,,,,,no,no,no,no,no,no,status=unknown
app,01_apps/DAKE_PDF_CheckStamp,Dake確認印,available,,,REGISTERED,https://peakheadz.booth.pm/items/8448176,,https://peakheadz.booth.pm/items/8448176,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_CheckStamp_v1.0.0,yes,yes,yes,yes,yes,yes,
app,01_apps/DAKE_PDF_Compress,DakePDF圧縮,available,,,REGISTERED,https://peakheadz.booth.pm/items/8448178,,https://peakheadz.booth.pm/items/8448178,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_Compress_v1.0.0,yes,yes,yes,yes,yes,yes,
app,01_apps/DAKE_PDF_Crop,DakePDFトリミング,available,,,REGISTERED,https://peakheadz.booth.pm/items/8448182,,https://peakheadz.booth.pm/items/8448182,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_Crop_v1.0.0,yes,yes,yes,yes,yes,yes,
app,01_apps/DAKE_PDF_LookHere,DakePDFここ見て,available,,,REGISTERED,https://peakheadz.booth.pm/items/8448187,,https://peakheadz.booth.pm/items/8448187,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_LookHere_v1.0.0,yes,yes,yes,yes,yes,yes,
app,01_apps/DAKE_PDF_Marker,DakePDFマーカー,available,,,REGISTERED,https://peakheadz.booth.pm/items/8448193,,https://peakheadz.booth.pm/items/8448193,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_Marker_v1.0.0,yes,yes,yes,yes,yes,yes,
app,01_apps/DAKE_PDF_Merge,DakePDF結合,available,,,REGISTERED,https://peakheadz.booth.pm/items/8448196,,https://peakheadz.booth.pm/items/8448196,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_Merge_v1.0.0,yes,yes,yes,yes,yes,yes,
app,01_apps/DAKE_PDF_Merge_Mini,DakePDF結合mini,available,,,REGISTERED,https://peakheadz.booth.pm/items/8448200,,https://peakheadz.booth.pm/items/8448200,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_Merge_Mini_v1.0.0,yes,yes,yes,yes,yes,yes,
app,01_apps/DAKE_PDF_Rename,DakePDFファイル名整理,available,,,REGISTERED,https://peakheadz.booth.pm/items/8448204,,https://peakheadz.booth.pm/items/8448204,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_Rename_v1.0.0,yes,yes,yes,yes,yes,yes,
app,01_apps/DAKE_PDF_Reorder,DakePDFページ並べ替え,available,,,REGISTERED,https://peakheadz.booth.pm/items/8448206,,https://peakheadz.booth.pm/items/8448206,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_Reorder_v1.0.0,yes,yes,yes,yes,yes,yes,
app,01_apps/DAKE_PDF_SplitOne,DakePDF分割One,available,,,REGISTERED,https://peakheadz.booth.pm/items/8448207,,https://peakheadz.booth.pm/items/8448207,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_SplitOne_v1.0.0,yes,yes,yes,yes,yes,yes,
app,01_apps/DAKE_PDF_SplitSelect,DakePDF分割Select,available,,,REGISTERED,https://peakheadz.booth.pm/items/8448213,,https://peakheadz.booth.pm/items/8448213,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_SplitSelect_v1.0.0,yes,yes,yes,yes,yes,yes,
app,01_apps/DAKE_PDF_ToImages,DakePDFto画像,available,,,REGISTERED,https://peakheadz.booth.pm/items/8448216,,https://peakheadz.booth.pm/items/8448216,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_ToImages_v1.0.0,yes,yes,yes,yes,yes,yes,
app,01_apps/DAKE_PDF_Viewer,DakePDF見る,available,,,REGISTERED,https://peakheadz.booth.pm/items/8448219,,https://peakheadz.booth.pm/items/8448219,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_Viewer_v1.0.0,yes,yes,yes,yes,yes,yes,
app,01_apps/DAKE_Price_Apportionment,Dake価格按分,available,,,REGISTERED,https://peakheadz.booth.pm/items/8448222,,https://peakheadz.booth.pm/items/8448222,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Price_Apportionment_v1.0.0,yes,yes,yes,yes,yes,yes,
app,01_apps/DAKE_Price_FixedTax,Dake固都税計算,available,,,REGISTERED,https://peakheadz.booth.pm/items/8448259,,https://peakheadz.booth.pm/items/8448259,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Price_FixedTax_v1.0.0,yes,yes,yes,yes,yes,yes,
app,01_apps/DAKE_QPSC_Dashboard,QPCS Dashboard,internal,qpcs,system_ready,SKIPPED_STATUS,,,,,no,no,no,no,no,no,status=internal; app_type=qpcs
app,01_apps/DAKE_Reform_Progress,リフォーム進捗管理,available,,,REGISTERED,https://peakheadz.booth.pm/items/8448260,,https://peakheadz.booth.pm/items/8448260,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Reform_Progress_v1.0.0,yes,yes,yes,yes,yes,yes,
app,01_apps/DAKE_Screen_WebP,DakeScreen_WebP,available,,,REGISTERED,https://peakheadz.booth.pm/items/8448261,,https://peakheadz.booth.pm/items/8448261,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Screen_WebP_v1.0.0,yes,yes,yes,yes,yes,yes,
app,01_apps/DAKE_Screenshot_Print,Dakeスクショ印刷,available,,,REGISTERED,https://peakheadz.booth.pm/items/8448262,,https://peakheadz.booth.pm/items/8448262,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Screenshot_Print_v1.0.0,yes,yes,yes,yes,yes,yes,
app,01_apps/DAKE_Sticky_Memo,付箋メモ,available,,,REGISTERED,https://peakheadz.booth.pm/items/8448263,,https://peakheadz.booth.pm/items/8448263,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Sticky_Memo_v1.0.0,yes,yes,yes,yes,yes,yes,
app,01_apps/DAKE_Time_AdvancedTimer,Dakeアドバンスドタイマー,available,market,formal_release,REGISTERED,https://peakheadz.booth.pm/items/8449210,https://peakheadz.booth.pm/items/8449210,https://peakheadz.booth.pm/items/8449210,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Time_AdvancedTimer_v1.0.0,yes,yes,yes,yes,yes,yes,
app,01_apps/DAKE_TwoPerson_Memo,Dake二人メモ,available,,,REGISTERED,https://peakheadz.booth.pm/items/8448279,,https://peakheadz.booth.pm/items/8448279,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_TwoPerson_Memo_v1.0.0,yes,yes,yes,yes,yes,yes,
