folder,display_name,status,show_on_site,show_in_launcher,formal_target,exclude_reason,confirm_reason,release_url,release_tag,release_exists,screenshot,booth_thumbnail,booth_product,booth_product_ready,booth_ready,booth_ready_readme,booth_ready_thumbnail,dist_exe,release_body_md,booth_score,missing,next_step
DAKE_App_Dashboard,DAKE Dashboard,internal,False,False,False,status=internal,,,,False,False,False,False,False,False,False,False,True,False,0/3,,正式出荷対象外
DAKE_App_Doko,アプリどこ,available,True,True,True,,,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_App_Doko_v1.0.0,DAKE_App_Doko_v1.0.0,True,True,True,True,True,True,True,True,True,True,3/3,,BOOTH登録確認へ
DAKE_Approve_Brainz,承認Brainz,frozen,False,False,False,status=frozen,,,,False,False,False,False,True,True,True,False,True,True,2/3,,正式出荷対象外
DAKE_Backup,Dakeバックアップ,available,True,True,True,,,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Backup_v1.0.0,DAKE_Backup_v1.0.0,True,True,True,True,True,True,True,True,True,True,3/3,,BOOTH登録確認へ
DAKE_BGM_Loop,Dake BGM Loop,frozen,False,False,False,status=frozen,,,,False,False,False,False,True,True,True,False,True,True,2/3,,正式出荷対象外
DAKE_BOOTH_Assist,BOOTHアシスト,available,True,True,False,管理用/登録補助アプリ,,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_BOOTH_Assist_v1.0.0,DAKE_BOOTH_Assist_v1.0.0,True,True,True,False,True,True,True,True,True,True,3/3,,正式出荷対象外
DAKE_Brainz_OIKAWA,OIKAWA,experimental,False,False,False,status=experimental,,,,False,False,False,False,True,True,True,False,True,True,2/3,,正式出荷対象外
DAKE_Brainz_Search,補助脳BRAINZ,draft,False,False,False,status=draft,,,,False,False,False,False,True,True,True,False,True,True,2/3,,正式出荷対象外
DAKE_Column_Memo,ずっとメモ,available,True,True,True,,,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Column_Memo_v1.0.0,DAKE_Column_Memo_v1.0.0,True,True,True,True,True,True,True,True,True,True,3/3,,BOOTH登録確認へ
DAKE_Document_Cover,Dake書類送付状,available,True,True,True,,,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Document_Cover-v1.0.0,DAKE_Document_Cover-v1.0.0,True,True,True,True,True,True,True,True,True,True,3/3,,BOOTH登録確認へ
DAKE_FAX_Cover,DakeFAX送付状,available,True,True,True,,,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_FAX_Cover_v1.0.0,DAKE_FAX_Cover_v1.0.0,True,True,True,True,True,True,True,True,True,True,3/3,,BOOTH登録確認へ
DAKE_Folder_List,Dakeフォルダ一覧,available,True,True,True,,,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Folder_List_v1.0.0,DAKE_Folder_List_v1.0.0,True,True,True,True,True,True,True,True,True,True,3/3,,BOOTH登録確認へ
DAKE_Git_Memo,DakeGitメモ,available,True,True,True,,,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Git_Memo_v1.0.0,DAKE_Git_Memo_v1.0.0,True,True,True,True,True,True,True,True,True,True,3/3,,BOOTH登録確認へ
DAKE_HolidayJinja_Post,holiday-jinja 投稿DAKE,internal,False,False,False,status=internal,,,,False,True,True,False,True,True,True,True,True,True,3/3,,正式出荷対象外
DAKE_Image_HEICtoJPG,HEIC→JPG変換,available,True,True,True,,,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Image_HEICtoJPG_v1.0.0,DAKE_Image_HEICtoJPG_v1.0.0,True,True,True,True,True,True,True,True,True,True,3/3,,BOOTH登録確認へ
DAKE_Image_iPhoneToPC,Dake画像iPhoneToPC,available,True,True,True,,,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Image_iPhoneToPC_v1.0.0,DAKE_Image_iPhoneToPC_v1.0.0,True,True,True,True,True,True,True,True,True,True,3/3,,BOOTH登録確認へ
DAKE_Image_PasteA4,貼る,available,True,True,True,,,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Image_PasteA4_v1.0.0,DAKE_Image_PasteA4_v1.0.0,True,True,True,True,True,True,True,True,True,True,3/3,,BOOTH登録確認へ
DAKE_Image_Receiver,DakeImage_Receiver,available,True,True,True,,,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Image_Receiver_v1.0.0,DAKE_Image_Receiver_v1.0.0,True,True,True,True,True,True,True,True,True,True,3/3,,BOOTH登録確認へ
DAKE_Image_Resize,Dake画像リサイズ,available,True,True,True,,,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Image_Resize_v1.0.0,DAKE_Image_Resize_v1.0.0,True,True,True,True,True,True,True,True,True,True,3/3,,BOOTH登録確認へ
DAKE_Image_ToPDF,DakeImageToPDF,available,True,True,True,,,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Image_ToPDF_v1.0.0,DAKE_Image_ToPDF_v1.0.0,True,True,True,True,True,True,True,True,True,True,3/3,,BOOTH登録確認へ
DAKE_Launcher,Dakeランチャー,available,True,False,True,,,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Launcher_v1.0.0,DAKE_Launcher_v1.0.0,True,True,True,True,True,True,True,True,True,True,3/3,,BOOTH登録確認へ
DAKE_Mail_Address_Format,Dakeメールアドレス整形,available,True,True,True,,,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Mail_Address_Format_v1.0.0,DAKE_Mail_Address_Format_v1.0.0,True,True,True,True,True,True,True,True,True,True,3/3,,BOOTH登録確認へ
DAKE_Mail_AllStaff,Dake全社員メール起動,available,True,True,True,,,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Mail_AllStaff_v1.0.0,DAKE_Mail_AllStaff_v1.0.0,True,True,True,True,True,True,True,True,True,True,3/3,,BOOTH登録確認へ
DAKE_Mail_Draft,Dakeメール下書き,available,True,True,True,,,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Mail_Draft_v1.0.0,DAKE_Mail_Draft_v1.0.0,True,True,True,True,True,True,True,True,True,True,3/3,,BOOTH登録確認へ
DAKE_Mail_Kikuta,Dake菊田メール,available,True,True,True,,,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Mail_Kikuta_v1.0.0,DAKE_Mail_Kikuta_v1.0.0,True,True,True,True,True,True,True,True,True,True,3/3,,BOOTH登録確認へ
DAKE_Mail_List,Dakeメールリスト,available,True,True,True,,,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Mail_List_v1.0.0,DAKE_Mail_List_v1.0.0,True,True,True,True,True,True,True,True,True,True,3/3,,BOOTH登録確認へ
DAKE_Maji_Memo,マジでメモ,available,True,True,True,,,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Maji_Memo_v1.0.0,DAKE_Maji_Memo_v1.0.0,True,True,True,True,True,True,True,True,True,True,3/3,,BOOTH登録確認へ
DAKE_Mansion_Schedule,マンション工程表,available,True,True,True,,,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Mansion_Schedule_v1.0.0,DAKE_Mansion_Schedule_v1.0.0,True,True,True,True,True,True,True,True,True,True,3/3,,BOOTH登録確認へ
DAKE_Music_Otooku,音を置く,frozen,False,False,False,status=frozen,,,,False,False,False,False,True,True,True,False,True,True,2/3,,正式出荷対象外
DAKE_PDF_CheckStamp,Dake確認印,available,True,True,True,,,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_CheckStamp_v1.0.0,DAKE_PDF_CheckStamp_v1.0.0,True,True,True,True,True,True,True,True,True,True,3/3,,BOOTH登録確認へ
DAKE_PDF_Compress,DakePDF圧縮,available,True,True,True,,,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_Compress_v1.0.0,DAKE_PDF_Compress_v1.0.0,True,True,True,True,True,True,True,True,True,True,3/3,,BOOTH登録確認へ
DAKE_PDF_Crop,DakePDFトリミング,available,True,True,True,,,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_Crop_v1.0.0,DAKE_PDF_Crop_v1.0.0,True,True,True,True,True,True,True,True,True,True,3/3,,BOOTH登録確認へ
DAKE_PDF_LookHere,DakePDFここ見て,available,True,True,True,,,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_LookHere_v1.0.0,DAKE_PDF_LookHere_v1.0.0,True,True,True,True,True,True,True,True,True,True,3/3,,BOOTH登録確認へ
DAKE_PDF_Marker,DakePDFマーカー,available,True,True,True,,,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_Marker_v1.0.0,DAKE_PDF_Marker_v1.0.0,True,True,True,True,True,True,True,True,True,True,3/3,,BOOTH登録確認へ
DAKE_PDF_Merge,DakePDF結合,available,True,True,True,,,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_Merge_v1.0.0,DAKE_PDF_Merge_v1.0.0,True,True,True,True,True,True,True,True,True,True,3/3,,BOOTH登録確認へ
DAKE_PDF_Merge_Mini,DakePDF結合mini,available,True,True,True,,,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_Merge_Mini_v1.0.0,DAKE_PDF_Merge_Mini_v1.0.0,True,True,True,True,True,True,True,True,True,True,3/3,,BOOTH登録確認へ
