folder_name,folder_path,has_readme,has_dake_web_meta,domain,production_url,expected_domain,expected_production_url,domain_source,category,status,source,url_status,phase_a_status,git_status,git_branch,git_ahead,git_behind,last_commit,last_modified,needs_human_check,reason,recommended_next_action
booth_ready,C:\Users\yukiz\devlop\SHIMARISU\booth_ready,True,False,,,,,unknown,SHIMARISU,不明,unknown,missing,human_review,not_git_repo,,0,0,,2026-05-15 07:18:59,True,domain / production_url missing; URL source is unknown; not_git_repo,Confirm URL/repo before adding DAKE_WEB_META
borinef,C:\Users\yukiz\devlop\borinef,True,True,borinef.com,https://borinef.com/,borinef.com,https://borinef.com/,meta,BORINEF,active,meta,ok,committed_not_pushed,clean,main,1,0,7151ead,2026-06-02 06:50:00,False,Phase A target has DAKE_WEB_META; Phase A result recorded as added=True,Push the existing site repo commit if ready
dake-ai-site,C:\Users\yukiz\devlop\dake-ai-site,True,True,ai.dakeapp.com,https://ai.dakeapp.com,ai.dakeapp.com,https://ai.dakeapp.com,meta,DAKE,active,meta,ok,committed_not_pushed,clean,main,1,0,c57bc25,2026-06-02 06:50:00,False,Phase A target has DAKE_WEB_META; Phase A result recorded as added=True,Push the existing site repo commit if ready
dake-gis-site,C:\Users\yukiz\devlop\dake-gis-site,True,True,gis.dakeapp.com,https://gis.dakeapp.com,gis.dakeapp.com,https://gis.dakeapp.com,meta,DAKE,active,meta,ok,committed_not_pushed,clean,main,1,0,907d496,2026-06-02 06:52:46,False,Phase A target has DAKE_WEB_META; Phase A result recorded as added=True,Push the existing site repo commit if ready
dake-labs-site,C:\Users\yukiz\devlop\dake-labs-site,True,False,,,labs.dakeapp.com,https://labs.dakeapp.com,unknown,DAKE,不明,unknown,missing,human_review,clean,main,0,0,8248c48,2026-05-13 10:56:43,True,domain / production_url missing; URL source is unknown,Confirm URL/repo before adding DAKE_WEB_META
dake-tools-site,C:\Users\yukiz\devlop\dake-tools-site,True,True,tools.dakeapp.com,https://tools.dakeapp.com,tools.dakeapp.com,https://tools.dakeapp.com,meta,DAKE,active,meta,ok,committed_not_pushed,clean,main,1,0,49fa47b,2026-06-02 06:50:00,False,Phase A target has DAKE_WEB_META; Phase A result recorded as added=True,Push the existing site repo commit if ready
dakeapp-site,C:\Users\yukiz\devlop\dakeapp-site,True,True,dakeapp.com,https://dakeapp.com,dakeapp.com,https://dakeapp.com,meta,DAKE,active,meta,ok,committed_not_pushed,clean,main,1,0,2d81361,2026-06-02 06:50:00,False,Phase A target has DAKE_WEB_META; Phase A result recorded as added=True,Push the existing site repo commit if ready
holiday-blue-site,C:\Users\yukiz\devlop\holiday-blue-site,True,True,blue.holiday-jinja.com,https://blue.holiday-jinja.com,blue.holiday-jinja.com,https://blue.holiday-jinja.com,meta,holiday,active,meta,ok,committed_not_pushed,clean,main,1,0,4be75bc,2026-06-02 06:50:00,False,Phase A target has DAKE_WEB_META; Phase A result recorded as added=True,Push the existing site repo commit if ready
holiday-jinja-site,C:\Users\yukiz\devlop\holiday-jinja-site,True,True,holiday-jinja.com,https://holiday-jinja.com,holiday-jinja.com,https://holiday-jinja.com,meta,holiday,active,meta,ok,committed_not_pushed,clean,main,1,0,2254145,2026-06-02 06:50:00,False,Phase A target has DAKE_WEB_META; Phase A result recorded as added=True,Push the existing site repo commit if ready
holiday-side-site,C:\Users\yukiz\devlop\holiday-side-site,True,True,side.holiday-jinja.com,https://side.holiday-jinja.com,side.holiday-jinja.com,https://side.holiday-jinja.com,meta,holiday,active,meta,ok,committed_not_pushed,clean,main,1,0,be814c1,2026-06-02 06:50:00,False,Phase A target has DAKE_WEB_META; Phase A result recorded as added=True,Push the existing site repo commit if ready
holiday-sky-site,C:\Users\yukiz\devlop\holiday-sky-site,True,True,sky.holiday-jinja.com,https://sky.holiday-jinja.com,sky.holiday-jinja.com,https://sky.holiday-jinja.com,meta,holiday,active,meta,ok,committed_not_pushed,clean,main,1,0,34acd7f,2026-06-02 06:50:00,False,Phase A target has DAKE_WEB_META; Phase A result recorded as added=True,Push the existing site repo commit if ready
invoice,C:\Users\yukiz\devlop\dake-tools-site\public\invoice,True,False,tools.dakeapp.com,https://tools.dakeapp.com/invoice/`,tools.dakeapp.com,https://tools.dakeapp.com/invoice/`,readme,DAKE,不明,readme,ok,human_review,not_git_repo,,0,0,,2026-05-26 08:19:38,True,not_git_repo,Confirm URL/repo before adding DAKE_WEB_META
japanmemorylane-site,C:\Users\yukiz\devlop\japanmemorylane-site,True,True,japanmemorylane.com,https://japanmemorylane.com,japanmemorylane.com,https://japanmemorylane.com,meta,other,active,meta,ok,committed_not_pushed,clean,main,1,0,6f3f1cd,2026-06-02 06:50:00,False,Phase A target has DAKE_WEB_META; Phase A result recorded as added=True,Push the existing site repo commit if ready
kadochu,C:\Users\yukiz\devlop\yukihikokikuta-site\public\kadochu,True,False,peakheadz.booth.pm,https://peakheadz.booth.pm/,peakheadz.booth.pm,https://peakheadz.booth.pm/,readme,PEAKHEADZ,不明,readme,ok,human_review,not_git_repo,,0,0,,2026-05-20 20:46:05,True,not_git_repo,Confirm URL/repo before adding DAKE_WEB_META
logs,C:\Users\yukiz\devlop\peakheadz-project-index\logs,True,False,,,,,unknown,other,不明,unknown,missing,human_review,not_git_repo,,0,0,,2026-05-12 20:31:36,True,domain / production_url missing; URL source is unknown; not_git_repo,Confirm URL/repo before adding DAKE_WEB_META
nicekip-restore,C:\Users\yukiz\devlop\nicekip-restore,True,True,nicekip-restore.pages.dev,https://nicekip-restore.pages.dev,nicekip-restore.pages.dev,https://nicekip-restore.pages.dev,meta,other,archived,meta,ok,committed_not_pushed,clean,main,1,0,769af5e,2026-06-02 06:50:00,False,Phase A target has DAKE_WEB_META; Phase A result recorded as added=True,Push the existing site repo commit if ready
nicekip-site,C:\Users\yukiz\devlop\nicekip-site,True,False,,,nicekip.com,https://nicekip.com,unknown,other,不明,unknown,missing,human_review,clean,main,0,0,db56df4,2026-05-13 10:56:42,True,domain / production_url missing; URL source is unknown,Confirm URL/repo before adding DAKE_WEB_META
niceskill-site,C:\Users\yukiz\devlop\niceskill-site,True,False,,,niceskill.com,https://niceskill.com,unknown,other,不明,unknown,missing,human_review,clean,main,0,0,ed8f04c,2026-05-13 10:56:42,True,domain / production_url missing; URL source is unknown,Confirm URL/repo before adding DAKE_WEB_META
pdf_to_jpeg_app,C:\Users\yukiz\devlop\20240904 ローカルでまともに動く\pdf_to_jpeg_app,True,False,,,,,unknown,other,不明,unknown,missing,human_review,clean,main,0,0,730b8a2,2024-08-31 22:32:54,True,domain / production_url missing; URL source is unknown,Confirm URL/repo before adding DAKE_WEB_META
pdf_to_jpeg_app,C:\Users\yukiz\devlop\pdf_to_jpeg_app,True,False,,,,,unknown,other,不明,unknown,missing,human_review,clean,main,0,0,491c94a,2024-08-31 22:32:54,True,domain / production_url missing; URL source is unknown,Confirm URL/repo before adding DAKE_WEB_META
peakheadz-project-index,C:\Users\yukiz\devlop\peakheadz-project-index,True,False,,,,,unknown,PEAKHEADZ,不明,unknown,missing,human_review,clean,main,0,0,3368acb,2026-05-13 08:14:57,True,domain / production_url missing; URL source is unknown,Confirm URL/repo before adding DAKE_WEB_META
peakheadz-site,C:\Users\yukiz\devlop\peakheadz-site,True,True,peakheadz.com,https://peakheadz.com,peakheadz.com,https://peakheadz.com,meta,PEAKHEADZ,active,meta,ok,committed_not_pushed,clean,main,1,0,5a2de70,2026-06-02 06:50:00,False,Phase A target has DAKE_WEB_META; Phase A result recorded as added=True,Push the existing site repo commit if ready
SHIMARISU,C:\Users\yukiz\devlop\SHIMARISU,True,False,,,,,unknown,SHIMARISU,不明,unknown,missing,human_review,clean,main,0,0,376c8b4,2026-06-01 20:16:32,True,domain / production_url missing; URL source is unknown,Confirm URL/repo before adding DAKE_WEB_META
