"folder_name","readme_path","before_has_dake_web_meta","after_has_dake_web_meta","added","domain","production_url","category","status","has_functions","has_openai_api","health_url","git_repo","git_status_after","safety_check","notes"
"yukizblog-site","C:\Users\yukiz\devlop\yukizblog-site\README.md","False","True","True","blog.yukihikokikuta.com","https://blog.yukihikokikuta.com","blog","active","False","False","","yukizblog-site","clean","ok","ok"
"borinef","C:\Users\yukiz\devlop\borinef\README.md","False","True","True","borinef.com","https://borinef.com/","BORINEF","active","True","True","","borinef","clean","ok","ok"
"dake-ai-site","C:\Users\yukiz\devlop\dake-ai-site\README.md","False","True","True","ai.dakeapp.com","https://ai.dakeapp.com","DAKE","active","True","True","https://ai.dakeapp.com/api/health","dake-ai-site","clean","ok","ok"
"dakeapp-site","C:\Users\yukiz\devlop\dakeapp-site\README.md","False","True","True","dakeapp.com","https://dakeapp.com","DAKE","active","False","True","","dakeapp-site","clean","ok","ok"
"dake-gis-site","C:\Users\yukiz\devlop\dake-gis-site\README.md","False","True","True","gis.dakeapp.com","https://gis.dakeapp.com","DAKE","active","True","True","https://gis.dakeapp.com/api/health","dake-gis-site","clean","ok","ok"
"dake-tools-site","C:\Users\yukiz\devlop\dake-tools-site\README.md","False","True","True","tools.dakeapp.com","https://tools.dakeapp.com","DAKE","active","True","True","https://tools.dakeapp.com/api/health","dake-tools-site","clean","ok","ok"
"soredake-site","C:\Users\yukiz\devlop\soredake-site\README.md","False","True","True","soredake.com","https://soredake.com","DAKE","active","False","False","","soredake-site","clean","ok","ok"
"holiday-blue-site","C:\Users\yukiz\devlop\holiday-blue-site\README.md","False","True","True","blue.holiday-jinja.com","https://blue.holiday-jinja.com","holiday","active","False","False","","holiday-blue-site","clean","ok","ok"
"holiday-jinja-site","C:\Users\yukiz\devlop\holiday-jinja-site\README.md","False","True","True","holiday-jinja.com","https://holiday-jinja.com","holiday","active","False","False","","holiday-jinja-site","clean","ok","ok"
"holiday-side-site","C:\Users\yukiz\devlop\holiday-side-site\README.md","False","True","True","side.holiday-jinja.com","https://side.holiday-jinja.com","holiday","active","False","False","","holiday-side-site","clean","ok","ok"
"holiday-sky-site","C:\Users\yukiz\devlop\holiday-sky-site\README.md","False","True","True","sky.holiday-jinja.com","https://sky.holiday-jinja.com","holiday","active","True","False","https://sky.holiday-jinja.com/api/health","holiday-sky-site","clean","ok","ok"
"japanmemorylane-site","C:\Users\yukiz\devlop\japanmemorylane-site\README.md","False","True","True","japanmemorylane.com","https://japanmemorylane.com","other","active","True","True","https://japanmemorylane.com/api/health","japanmemorylane-site","clean","ok","ok"
"nicekip-restore","C:\Users\yukiz\devlop\nicekip-restore\README.md","False","True","True","nicekip-restore.pages.dev","https://nicekip-restore.pages.dev","other","archived","True","True","https://nicekip-restore.pages.dev/api/health","nicekip-restore","clean","ok","ok"
"yukihikokikuta-site","C:\Users\yukiz\devlop\yukihikokikuta-site\README.md","False","True","True","yukihikokikuta.com","https://yukihikokikuta.com","other","active","False","False","","yukihikokikuta-site","clean","ok","ok"
"peakheadz-site","C:\Users\yukiz\devlop\peakheadz-site\README.md","False","True","True","peakheadz.com","https://peakheadz.com","PEAKHEADZ","active","False","False","","peakheadz-site","clean","ok","ok"
"shimarisu-dakeapp-site","C:\Users\yukiz\devlop\shimarisu-dakeapp-site\README.md","False","True","True","shimarisu.dakeapp.com","https://shimarisu.dakeapp.com","SHIMARISU","active","False","False","","shimarisu-dakeapp-site","clean","ok","ok"
"shimarisu-site","C:\Users\yukiz\devlop\shimarisu-site\README.md","False","True","True","shimarisu-fudosan.com","https://shimarisu-fudosan.com","SHIMARISU","active","False","False","","shimarisu-site","clean","ok","ok"
