"folder_name","folder_path","display_name","category","domain","production_url","domain_source","cloudflare_project","site_type","has_functions","has_openai_api","health_url","status","git_status","action"
"yukizblog-site","C:\Users\yukiz\devlop\yukizblog-site","YUKIZ BLOG","blog","blog.yukihikokikuta.com","https://blog.yukihikokikuta.com","known","yukizblog-site","static","False","False","","active","clean","ADD_DAKE_WEB_META"
"borinef","C:\Users\yukiz\devlop\borinef","BORINEF","BORINEF","borinef.com","https://borinef.com/","known","borinef","functions","True","True","","active","clean","ADD_DAKE_WEB_META"
"dake-ai-site","C:\Users\yukiz\devlop\dake-ai-site","DAKE AI","DAKE","ai.dakeapp.com","https://ai.dakeapp.com","known","dake-ai-site","functions","True","True","https://ai.dakeapp.com/api/health","active","clean","ADD_DAKE_WEB_META"
"dakeapp-site","C:\Users\yukiz\devlop\dakeapp-site","DAKE","DAKE","dakeapp.com","https://dakeapp.com","known","dakeapp-site","static","False","True","","active","clean","ADD_DAKE_WEB_META"
"dake-gis-site","C:\Users\yukiz\devlop\dake-gis-site","DAKE GIS","DAKE","gis.dakeapp.com","https://gis.dakeapp.com","known","dake-gis-site","functions","True","True","https://gis.dakeapp.com/api/health","active","clean","ADD_DAKE_WEB_META"
"dake-tools-site","C:\Users\yukiz\devlop\dake-tools-site","DAKE Tools","DAKE","tools.dakeapp.com","https://tools.dakeapp.com","known","dake-tools-site","functions","True","True","https://tools.dakeapp.com/api/health","active","clean","ADD_DAKE_WEB_META"
"soredake-site","C:\Users\yukiz\devlop\soredake-site","soredake","DAKE","soredake.com","https://soredake.com","known","soredake-site","static","False","False","","active","clean","ADD_DAKE_WEB_META"
"holiday-blue-site","C:\Users\yukiz\devlop\holiday-blue-site","holiday-blue","holiday","blue.holiday-jinja.com","https://blue.holiday-jinja.com","known","holiday-blue-site","static","False","False","","active","clean","ADD_DAKE_WEB_META"
"holiday-jinja-site","C:\Users\yukiz\devlop\holiday-jinja-site","holiday-jinja","holiday","holiday-jinja.com","https://holiday-jinja.com","known","holiday-jinja-site","static","False","False","","active","clean","ADD_DAKE_WEB_META"
"holiday-side-site","C:\Users\yukiz\devlop\holiday-side-site","holiday-side","holiday","side.holiday-jinja.com","https://side.holiday-jinja.com","known","holiday-side-site","static","False","False","","active","clean","ADD_DAKE_WEB_META"
"holiday-sky-site","C:\Users\yukiz\devlop\holiday-sky-site","holiday-sky","holiday","sky.holiday-jinja.com","https://sky.holiday-jinja.com","known","holiday-sky-site","functions","True","False","https://sky.holiday-jinja.com/api/health","active","clean","ADD_DAKE_WEB_META"
"japanmemorylane-site","C:\Users\yukiz\devlop\japanmemorylane-site","Japan Memory Lane","other","japanmemorylane.com","https://japanmemorylane.com","known","japanmemorylane-site","functions","True","True","https://japanmemorylane.com/api/health","active","clean","ADD_DAKE_WEB_META"
"nicekip-restore","C:\Users\yukiz\devlop\nicekip-restore","NICE KIP Restore","other","nicekip-restore.pages.dev","https://nicekip-restore.pages.dev","readme","nicekip-restore","functions","True","True","https://nicekip-restore.pages.dev/api/health","archived","clean","ADD_DAKE_WEB_META"
"yukihikokikuta-site","C:\Users\yukiz\devlop\yukihikokikuta-site","Yukihiko Kikuta","other","yukihikokikuta.com","https://yukihikokikuta.com","known","yukihikokikuta-site","static","False","False","","active","clean","ADD_DAKE_WEB_META"
"peakheadz-site","C:\Users\yukiz\devlop\peakheadz-site","PEAKHEADZ","PEAKHEADZ","peakheadz.com","https://peakheadz.com","known","peakheadz-site","static","False","False","","active","clean","ADD_DAKE_WEB_META"
"shimarisu-dakeapp-site","C:\Users\yukiz\devlop\shimarisu-dakeapp-site","SHIMARISU","SHIMARISU","shimarisu.dakeapp.com","https://shimarisu.dakeapp.com","known","shimarisu-dakeapp-site","static","False","False","","active","clean","ADD_DAKE_WEB_META"
"shimarisu-site","C:\Users\yukiz\devlop\shimarisu-site","SHIMARISU Fudosan","SHIMARISU","shimarisu-fudosan.com","https://shimarisu-fudosan.com","known","shimarisu-site","static","False","False","","active","clean","ADD_DAKE_WEB_META"
