"folder_name","folder_path","candidate_type","site_name","category","status","domain","production_url","domain_source","cloudflare_project","repo_name","has_readme","has_dake_web_meta","has_wrangler","has_package_json","has_public","has_functions","has_health_api","has_openai_reference","git_status","git_dirty_count","last_commit","last_modified","needs_action","action_reason","recommended_next_action"
"yukizblog-restore","C:\Users\yukiz\devlop\yukizblog-restore","site_repo","YUKIZ BLOG Restore","blog","archived","","","unknown","yukizblog-restore","yukizblog-restore","True","False","True","True","True","True","True","False","clean","0","0","2026-05-13 21:00:23","True","missing_DAKE_WEB_META; missing_production_url","DAKE_WEB_METAをREADMEに追加; production_url要確認"
"yukizblog-site","C:\Users\yukiz\devlop\yukizblog-site","site_repo","YUKIZ BLOG","blog","active","blog.yukihikokikuta.com","https://blog.yukihikokikuta.com","known","yukizblog-site","yukizblog-site","True","False","True","False","True","False","False","False","clean","0","8","2026-05-13 10:58:18","True","missing_DAKE_WEB_META","DAKE_WEB_METAをREADMEに追加"
"borinef","C:\Users\yukiz\devlop\borinef","site_repo","BORINEF","BORINEF","active","borinef.com","https://borinef.com/","known","borinef","borinef","True","False","True","False","False","True","False","True","clean","0","3","2026-05-20 20:46:34","True","missing_DAKE_WEB_META; missing_health_api","DAKE_WEB_METAをREADMEに追加; /api/health追加推奨"
"dake-ai-site","C:\Users\yukiz\devlop\dake-ai-site","site_repo","DAKE AI","DAKE","active","ai.dakeapp.com","https://ai.dakeapp.com","known","dake-ai-site","dake-ai-site","True","False","True","True","True","True","True","True","clean","0","c","2026-05-13 20:54:58","True","missing_DAKE_WEB_META","DAKE_WEB_METAをREADMEに追加"
"dakeapp-site","C:\Users\yukiz\devlop\dakeapp-site","site_repo","DAKE","DAKE","active","dakeapp.com","https://dakeapp.com","known","dakeapp-site","dakeapp-site","True","False","True","False","True","False","False","True","clean","0","6","2026-06-01 20:23:28","True","missing_DAKE_WEB_META","DAKE_WEB_METAをREADMEに追加"
"dake-gis-site","C:\Users\yukiz\devlop\dake-gis-site","site_repo","DAKE GIS","DAKE","active","gis.dakeapp.com","https://gis.dakeapp.com","known","dake-gis-site","dake-gis-site","True","False","True","True","True","True","True","True","clean","0","b","2026-05-13 20:59:20","True","missing_DAKE_WEB_META","DAKE_WEB_METAをREADMEに追加"
"dake-labs-site","C:\Users\yukiz\devlop\dake-labs-site","site_repo","DAKE Labs","DAKE","active","labs.dakeapp.com","https://labs.dakeapp.com","inferred","dake-labs-site","dake-labs-site","True","False","True","False","True","False","False","False","clean","0","8","2026-05-13 10:58:18","True","missing_DAKE_WEB_META; url_inferred","DAKE_WEB_METAをREADMEに追加; URL推定のため人間確認"
"dake-tools-site","C:\Users\yukiz\devlop\dake-tools-site","site_repo","DAKE Tools","DAKE","active","tools.dakeapp.com","https://tools.dakeapp.com","known","dake-tools-site","dake-tools-site","True","False","True","True","True","True","True","True","clean","0","4","2026-05-26 09:34:42","True","missing_DAKE_WEB_META","DAKE_WEB_METAをREADMEに追加"
"soredake-site","C:\Users\yukiz\devlop\soredake-site","site_repo","soredake","DAKE","active","soredake.com","https://soredake.com","known","soredake-site","soredake-site","True","False","True","False","True","False","False","False","clean","0","f","2026-05-13 11:28:37","True","missing_DAKE_WEB_META","DAKE_WEB_METAをREADMEに追加"
"holiday-blue-site","C:\Users\yukiz\devlop\holiday-blue-site","site_repo","holiday-blue","holiday","active","blue.holiday-jinja.com","https://blue.holiday-jinja.com","known","holiday-blue-site","holiday-blue-site","True","False","True","False","True","False","False","False","clean","0","4","2026-05-13 10:58:17","True","missing_DAKE_WEB_META","DAKE_WEB_METAをREADMEに追加"
"holiday-jinja-site","C:\Users\yukiz\devlop\holiday-jinja-site","site_repo","holiday-jinja","holiday","active","holiday-jinja.com","https://holiday-jinja.com","known","holiday-jinja-site","holiday-jinja-site","True","False","True","False","True","False","False","False","clean","0","8","2026-05-13 10:58:17","True","missing_DAKE_WEB_META","DAKE_WEB_METAをREADMEに追加"
"holiday-side-site","C:\Users\yukiz\devlop\holiday-side-site","site_repo","holiday-side","holiday","active","side.holiday-jinja.com","https://side.holiday-jinja.com","known","holiday-side-site","holiday-side-site","True","False","True","False","True","False","False","False","clean","0","7","2026-05-13 10:58:17","True","missing_DAKE_WEB_META","DAKE_WEB_METAをREADMEに追加"
"holiday-sky-site","C:\Users\yukiz\devlop\holiday-sky-site","site_repo","holiday-sky","holiday","active","sky.holiday-jinja.com","https://sky.holiday-jinja.com","known","holiday-sky-site","holiday-sky-site","True","False","True","True","True","True","True","False","clean","0","9","2026-05-13 10:58:17","True","missing_DAKE_WEB_META","DAKE_WEB_METAをREADMEに追加"
"japanmemorylane-site","C:\Users\yukiz\devlop\japanmemorylane-site","site_repo","Japan Memory Lane","other","active","japanmemorylane.com","https://japanmemorylane.com","known","japanmemorylane-site","japanmemorylane-site","True","False","True","True","True","True","True","True","clean","0","d","2026-05-13 20:13:20","True","missing_DAKE_WEB_META","DAKE_WEB_METAをREADMEに追加"
"nicekip-restore","C:\Users\yukiz\devlop\nicekip-restore","site_repo","NICE KIP Restore","other","archived","nicekip-restore.pages.dev","https://nicekip-restore.pages.dev","readme","nicekip-restore","nicekip-restore","True","False","True","True","True","True","True","True","clean","0","c","2026-05-13 21:02:35","True","missing_DAKE_WEB_META","DAKE_WEB_METAをREADMEに追加"
"nicekip-site","C:\Users\yukiz\devlop\nicekip-site","site_repo","NICE KIP","other","active","nicekip.com","https://nicekip.com","inferred","nicekip-site","nicekip-site","True","False","True","True","True","True","True","True","clean","0","d","2026-05-13 10:58:18","True","missing_DAKE_WEB_META; url_inferred","DAKE_WEB_METAをREADMEに追加; URL推定のため人間確認"
"niceskill-site","C:\Users\yukiz\devlop\niceskill-site","site_repo","NICE SKILL","other","active","niceskill.com","https://niceskill.com","inferred","niceskill-site","niceskill-site","True","False","True","False","True","False","False","False","clean","0","e","2026-05-13 10:58:18","True","missing_DAKE_WEB_META; url_inferred","DAKE_WEB_METAをREADMEに追加; URL推定のため人間確認"
"wlzphz-site","C:\Users\yukiz\devlop\wlzphz-site","site_repo","WLZPHZ","other","active","wlzphz.com","https://wlzphz.com","inferred","wlzphz-site","wlzphz-site","True","False","True","True","True","True","True","True","clean","0","9","2026-05-13 21:43:51","True","missing_DAKE_WEB_META; url_inferred","DAKE_WEB_METAをREADMEに追加; URL推定のため人間確認"
"yukihikokikuta-site","C:\Users\yukiz\devlop\yukihikokikuta-site","site_repo","Yukihiko Kikuta","other","active","yukihikokikuta.com","https://yukihikokikuta.com","known","yukihikokikuta-site","yukihikokikuta-site","True","False","True","False","True","False","False","False","clean","0","6","2026-05-20 21:00:02","True","missing_DAKE_WEB_META","DAKE_WEB_METAをREADMEに追加"
"peakheadz-site","C:\Users\yukiz\devlop\peakheadz-site","site_repo","PEAKHEADZ","PEAKHEADZ","active","peakheadz.com","https://peakheadz.com","known","peakheadz-site","peakheadz-site","True","False","True","False","True","False","False","False","clean","0","6","2026-06-01 19:29:32","True","missing_DAKE_WEB_META","DAKE_WEB_METAをREADMEに追加"
"shimarisu-dakeapp-site","C:\Users\yukiz\devlop\shimarisu-dakeapp-site","site_repo","SHIMARISU","SHIMARISU","active","shimarisu.dakeapp.com","https://shimarisu.dakeapp.com","known","shimarisu-dakeapp-site","shimarisu-dakeapp-site","True","False","True","False","True","False","False","False","clean","0","2","2026-05-31 19:16:00","True","missing_DAKE_WEB_META","DAKE_WEB_METAをREADMEに追加"
"shimarisu-site","C:\Users\yukiz\devlop\shimarisu-site","site_repo","SHIMARISU Fudosan","SHIMARISU","active","shimarisu-fudosan.com","https://shimarisu-fudosan.com","known","shimarisu-site","shimarisu-site","True","False","True","False","True","False","False","False","clean","0","d","2026-05-31 18:09:53","True","missing_DAKE_WEB_META","DAKE_WEB_METAをREADMEに追加"
