app folder,display_name,status,exe path,exe exists,launch_check supported,result,exit code,elapsed seconds,note
DAKE_App_Dashboard,DAKE Dashboard,internal,,False,False,SKIPPED_STATUS,,0.00,status=internal
DAKE_App_Doko,アプリどこ,available,01_apps\DAKE_App_Doko\dist\DakeApp_Doko.exe,True,True,OK,0,1.67,
DAKE_Approve_Brainz,承認Brainz,frozen,,False,False,SKIPPED_STATUS,,0.00,status=frozen
DAKE_Backup,Dakeバックアップ,available,01_apps\DAKE_Backup\dist\DakeBackup.exe,True,True,OK,0,1.48,LAUNCH CHECK OK
DAKE_BGM_Loop,Dake BGM Loop,frozen,,False,False,SKIPPED_STATUS,,0.00,status=frozen
DAKE_BOOTH_Assist,BOOTHアシスト,available,01_apps\DAKE_BOOTH_Assist\dist\DakeBOOTH_Assist.exe,True,True,TIMEOUT,timeout,5.58,--launch-check did not finish
DAKE_Brainz_OIKAWA,OIKAWA,experimental,,False,False,SKIPPED_STATUS,,0.00,status=experimental
DAKE_Brainz_Search,補助脳BRAINZ,draft,,False,False,SKIPPED_STATUS,,0.00,status=draft
DAKE_Column_Memo,ずっとメモ,available,01_apps\DAKE_Column_Memo\dist\DakeColumn_Memo.exe,True,False,OK_GUI,terminated,4.14,GUI process started and was stopped after smoke timeout
DAKE_Document_Cover,Dake書類送付状,available,01_apps\DAKE_Document_Cover\dist\DakeDocument_Cover.exe,True,False,OK_GUI,terminated,4.23,GUI process started and was stopped after smoke timeout
DAKE_FAX_Cover,DakeFAX送付状,available,01_apps\DAKE_FAX_Cover\dist\DakeFAX_Cover.exe,True,False,OK_GUI,terminated,4.23,GUI process started and was stopped after smoke timeout
DAKE_Folder_List,Dakeフォルダ一覧,available,01_apps\DAKE_Folder_List\dist\DakeFolder_List.exe,True,False,OK_GUI,terminated,4.14,GUI process started and was stopped after smoke timeout
DAKE_Git_Memo,DakeGitメモ,available,01_apps\DAKE_Git_Memo\dist\DakeGit_Memo.exe,True,True,OK,0,2.31,
DAKE_HolidayJinja_Post,holiday-jinja 投稿DAKE,internal,,False,False,SKIPPED_STATUS,,0.00,status=internal
DAKE_Image_HEICtoJPG,HEIC→JPG変換,available,01_apps\DAKE_Image_HEICtoJPG\dist\DakeHEIC_JPG.exe,True,False,OK_GUI,terminated,4.23,GUI process started and was stopped after smoke timeout
DAKE_Image_iPhoneToPC,Dake画像iPhoneToPC,available,01_apps\DAKE_Image_iPhoneToPC\dist\DakeImage_iPhoneToPC.exe,True,False,OK_GUI,terminated,4.19,GUI process started and was stopped after smoke timeout
DAKE_Image_PasteA4,貼る,available,01_apps\DAKE_Image_PasteA4\dist\DakeImage_PasteA4.exe,True,False,OK_GUI,terminated,4.17,GUI process started and was stopped after smoke timeout
DAKE_Image_Receiver,DakeImage_Receiver,available,01_apps\DAKE_Image_Receiver\dist\DakeImage_Receiver.exe,True,False,OK_GUI,terminated,4.27,GUI process started and was stopped after smoke timeout
