id,title,source_original,current_payment_status,current_stripe_payment_link,new_payment_status,new_stripe_payment_link,action,validation_result,notes
DAKE_App_Doko,アプリどこ,01_apps/DAKE_App_Doko/ORIGINAL.md,stripe_ready,https://buy.stripe.com/8x200j6bL1RRecU0bf0gw05,stripe_ready,https://buy.stripe.com/8x200j6bL1RRecU0bf0gw05,already_same,ok,Already contains the live Payment Link and stripe_ready status
DAKE_Backup,Dakeバックアップ,01_apps/DAKE_Backup/ORIGINAL.md,stripe_ready,https://buy.stripe.com/eVq00j43D9kjc4Me250gw06,stripe_ready,https://buy.stripe.com/eVq00j43D9kjc4Me250gw06,already_same,ok,Already contains the live Payment Link and stripe_ready status
DAKE_Git_Memo,DakeGitメモ,01_apps/DAKE_Git_Memo/ORIGINAL.md,stripe_ready,https://buy.stripe.com/aFacN56bL3ZZ3yg7DH0gw07,stripe_ready,https://buy.stripe.com/aFacN56bL3ZZ3yg7DH0gw07,already_same,ok,Already contains the live Payment Link and stripe_ready status
DAKE_Image_PasteA4,貼る,01_apps/DAKE_Image_PasteA4/ORIGINAL.md,stripe_ready,https://buy.stripe.com/6oU6oH8jT3ZZd8Q1fj0gw08,stripe_ready,https://buy.stripe.com/6oU6oH8jT3ZZd8Q1fj0gw08,already_same,ok,Already contains the live Payment Link and stripe_ready status
DAKE_Mail_Address_Format,Dakeメールアドレス整形,01_apps/DAKE_Mail_Address_Format/ORIGINAL.md,stripe_ready,https://buy.stripe.com/fZu3cvbw57cbc4Mf690gw09,stripe_ready,https://buy.stripe.com/fZu3cvbw57cbc4Mf690gw09,already_same,ok,Already contains the live Payment Link and stripe_ready status
DAKE_Mail_Draft,Dakeメール下書き,01_apps/DAKE_Mail_Draft/ORIGINAL.md,stripe_ready,https://buy.stripe.com/7sY9ATcA9dAz8SAbTX0gw0a,stripe_ready,https://buy.stripe.com/7sY9ATcA9dAz8SAbTX0gw0a,already_same,ok,Already contains the live Payment Link and stripe_ready status
DAKE_Maji_Memo,マジでメモ,01_apps/DAKE_Maji_Memo/ORIGINAL.md,stripe_ready,https://buy.stripe.com/4gMbJ143D2VVd8Q9LP0gw0b,stripe_ready,https://buy.stripe.com/4gMbJ143D2VVd8Q9LP0gw0b,already_same,ok,Already contains the live Payment Link and stripe_ready status
DAKE_Sticky_Memo,付箋メモ,01_apps/DAKE_Sticky_Memo/ORIGINAL.md,stripe_ready,https://buy.stripe.com/9B65kD2Zzaon9WE0bf0gw0c,stripe_ready,https://buy.stripe.com/9B65kD2Zzaon9WE0bf0gw0c,already_same,ok,Already contains the live Payment Link and stripe_ready status
DAKE_Yesterday_Task_Memo,Dake昨日タスクメモ,01_apps/DAKE_Yesterday_Task_Memo/ORIGINAL.md,stripe_ready,https://buy.stripe.com/3cIaEXcA9543b0I8HL0gw0d,stripe_ready,https://buy.stripe.com/3cIaEXcA9543b0I8HL0gw0d,already_same,ok,Already contains the live Payment Link and stripe_ready status
dake_booth_assist,BOOTHアシスト,01_apps/DAKE_BOOTH_Assist/ORIGINAL.md,stripe_ready,https://buy.stripe.com/dRmcN557H8gf0m4gad0gw0e,stripe_ready,https://buy.stripe.com/dRmcN557H8gf0m4gad0gw0e,already_same,ok,Already contains the live Payment Link and stripe_ready status
dake_column_memo,ずっとメモ,01_apps/DAKE_Column_Memo/ORIGINAL.md,stripe_ready,https://buy.stripe.com/7sY6oHbw5gMLc4M4rv0gw0f,stripe_ready,https://buy.stripe.com/7sY6oHbw5gMLc4M4rv0gw0f,already_same,ok,Already contains the live Payment Link and stripe_ready status
dake_document_cover,Dake書類送付状,01_apps/DAKE_Document_Cover/ORIGINAL.md,stripe_ready,https://buy.stripe.com/fZubJ12Zzbsrd8Q3nr0gw0g,stripe_ready,https://buy.stripe.com/fZubJ12Zzbsrd8Q3nr0gw0g,already_same,ok,Already contains the live Payment Link and stripe_ready status
dake_fax_cover,DakeFAX送付状,01_apps/DAKE_FAX_Cover/ORIGINAL.md,stripe_ready,https://buy.stripe.com/4gM00j9nX1RRb0I5vz0gw0h,stripe_ready,https://buy.stripe.com/4gM00j9nX1RRb0I5vz0gw0h,already_same,ok,Already contains the live Payment Link and stripe_ready status
dake_folder_list,Dakeフォルダ一覧,01_apps/DAKE_Folder_List/ORIGINAL.md,stripe_ready,https://buy.stripe.com/14A5kDcA9cwv4Ck2jn0gw0i,stripe_ready,https://buy.stripe.com/14A5kDcA9cwv4Ck2jn0gw0i,already_same,ok,Already contains the live Payment Link and stripe_ready status
dake_image_heictojpg,HEIC→JPG変換,01_apps/DAKE_Image_HEICtoJPG/ORIGINAL.md,stripe_ready,https://buy.stripe.com/4gMfZhas1gML4CkaPT0gw0j,stripe_ready,https://buy.stripe.com/4gMfZhas1gML4CkaPT0gw0j,already_same,ok,Already contains the live Payment Link and stripe_ready status
