store_id,type,title,price,currency,description,payment_status,classification,category,booth_url,github_release_url,source_repo,source_original,source_original_exists,stripe_product_name,stripe_price_amount,stripe_payment_link_target,tax_code_candidate,tax_code_memo,store_url,metadata_json,memo
DAKE_App_Doko,app,アプリどこ,300,JPY,"PC内に散らばったDAKE系アプリを探します。

・アプリどこ
・PC内のDAKE系exeを探します
・README正本を読み取って表示します
・忘れていたアプリを発掘できます
・Windows向けexe

実務の流れを、
少し静かにするための道具です。",booth_only,stripe_candidate,補助ツール,https://peakheadz.booth.pm/items/8447573,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_App_Doko_v1.0.0,DAKE_series,01_apps/DAKE_App_Doko/ORIGINAL.md,yes,アプリどこ,300,yes,txcd_10202003,downloadable prewritten software for business use candidate; confirm tax treatment,https://store.dakeapp.com/product/?id=DAKE_App_Doko,"{""booth_url"": ""https://peakheadz.booth.pm/items/8447573"", ""dake_item_id"": ""DAKE_App_Doko"", ""dake_type"": ""app"", ""github_release_url"": ""https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_App_Doko_v1.0.0"", ""source_original"": ""01_apps/DAKE_App_Doko/ORIGINAL.md"", ""source_repo"": ""DAKE_series"", ""store_url"": ""https://store.dakeapp.com/product/?id=DAKE_App_Doko""}",ready for Stripe Payment Link planning
DAKE_Backup,app,Dakeバックアップ,500,JPY,ローカル正本フォルダを、指定した避難先フォルダへ一方向にコピー保存するWindows向けアプリです。,booth_only,stripe_candidate,バックアップ / 保全,https://peakheadz.booth.pm/items/8447578,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Backup_v1.0.0,DAKE_series,01_apps/DAKE_Backup/ORIGINAL.md,yes,Dakeバックアップ,500,yes,txcd_10202003,downloadable prewritten software for business use candidate; confirm tax treatment,https://store.dakeapp.com/product/?id=DAKE_Backup,"{""booth_url"": ""https://peakheadz.booth.pm/items/8447578"", ""dake_item_id"": ""DAKE_Backup"", ""dake_type"": ""app"", ""github_release_url"": ""https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Backup_v1.0.0"", ""source_original"": ""01_apps/DAKE_Backup/ORIGINAL.md"", ""source_repo"": ""DAKE_series"", ""store_url"": ""https://store.dakeapp.com/product/?id=DAKE_Backup""}",ready for Stripe Payment Link planning
DAKE_Git_Memo,app,DakeGitメモ,500,JPY,"書くたびに、変更が残るメモです。

・書くたびに変更が残る、1メモだけの軽量メモアプリです。
・自動保存、Ctrl + S、終了時保存に対応しています。
・履歴から変更を確認し、必要な時点に戻せます。
・Git未インストール環境でも使えるスナップショット方式です。
・Windows向けexeです。

実務の流れを、
少し静かにするための道具です。",booth_only,stripe_candidate,メモ/開発記録,https://peakheadz.booth.pm/items/8447593,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Git_Memo_v1.0.0,DAKE_series,01_apps/DAKE_Git_Memo/ORIGINAL.md,yes,DakeGitメモ,500,yes,txcd_10202003,downloadable prewritten software for business use candidate; confirm tax treatment,https://store.dakeapp.com/product/?id=DAKE_Git_Memo,"{""booth_url"": ""https://peakheadz.booth.pm/items/8447593"", ""dake_item_id"": ""DAKE_Git_Memo"", ""dake_type"": ""app"", ""github_release_url"": ""https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Git_Memo_v1.0.0"", ""source_original"": ""01_apps/DAKE_Git_Memo/ORIGINAL.md"", ""source_repo"": ""DAKE_series"", ""store_url"": ""https://store.dakeapp.com/product/?id=DAKE_Git_Memo""}",ready for Stripe Payment Link planning
DAKE_Image_PasteA4,app,貼る,500,JPY,"見えているウインドウを貼って、A4画像にします。

・見えているウインドウを貼ってA4画像にします。
・移動・拡大縮小・PNG出力だけに絞った資料化アプリです。
・Windows向けexeです。

実務の流れを、
少し静かにするための道具です。",booth_only,stripe_candidate,画像,https://peakheadz.booth.pm/items/8397628,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Image_PasteA4_v1.0.0,DAKE_series,01_apps/DAKE_Image_PasteA4/ORIGINAL.md,yes,貼る,500,yes,txcd_10202003,downloadable prewritten software for business use candidate; confirm tax treatment,https://store.dakeapp.com/product/?id=DAKE_Image_PasteA4,"{""booth_url"": ""https://peakheadz.booth.pm/items/8397628"", ""dake_item_id"": ""DAKE_Image_PasteA4"", ""dake_type"": ""app"", ""github_release_url"": ""https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Image_PasteA4_v1.0.0"", ""source_original"": ""01_apps/DAKE_Image_PasteA4/ORIGINAL.md"", ""source_repo"": ""DAKE_series"", ""store_url"": ""https://store.dakeapp.com/product/?id=DAKE_Image_PasteA4""}",ready for Stripe Payment Link planning
DAKE_Mail_Address_Format,app,Dakeメールアドレス整形,300,JPY,"貼り付けたメールアドレスを、カンマ区切りに整えます。

・Dakeメールアドレス整形
・貼り付けた宛先を自動抽出
・カンマ区切りでコピー
・Windows向けexe

実務の流れを、
少し静かにするための道具です。",booth_only,stripe_candidate,メール,https://peakheadz.booth.pm/items/8447996,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Mail_Address_Format_v1.0.0,DAKE_series,01_apps/DAKE_Mail_Address_Format/ORIGINAL.md,yes,Dakeメールアドレス整形,300,yes,txcd_10202003,downloadable prewritten software for business use candidate; confirm tax treatment,https://store.dakeapp.com/product/?id=DAKE_Mail_Address_Format,"{""booth_url"": ""https://peakheadz.booth.pm/items/8447996"", ""dake_item_id"": ""DAKE_Mail_Address_Format"", ""dake_type"": ""app"", ""github_release_url"": ""https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Mail_Address_Format_v1.0.0"", ""source_original"": ""01_apps/DAKE_Mail_Address_Format/ORIGINAL.md"", ""source_repo"": ""DAKE_series"", ""store_url"": ""https://store.dakeapp.com/product/?id=DAKE_Mail_Address_Format""}",ready for Stripe Payment Link planning
DAKE_Mail_Draft,app,Dakeメール下書き,300,JPY,"CSV名簿から、Outlookの個別下書きを作ります。

・Outlook下書き作成のみ
・自動送信なし
・件名、本文、添付ファイルに対応
・送信前にOutlookで確認
・Windows向け

送信を急がず、
下書きだけを静かに整える道具です。",booth_only,stripe_candidate,メール,https://peakheadz.booth.pm/items/8448001,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Mail_Draft_v1.0.0,DAKE_series,01_apps/DAKE_Mail_Draft/ORIGINAL.md,yes,Dakeメール下書き,300,yes,txcd_10202003,downloadable prewritten software for business use candidate; confirm tax treatment,https://store.dakeapp.com/product/?id=DAKE_Mail_Draft,"{""booth_url"": ""https://peakheadz.booth.pm/items/8448001"", ""dake_item_id"": ""DAKE_Mail_Draft"", ""dake_type"": ""app"", ""github_release_url"": ""https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Mail_Draft_v1.0.0"", ""source_original"": ""01_apps/DAKE_Mail_Draft/ORIGINAL.md"", ""source_repo"": ""DAKE_series"", ""store_url"": ""https://store.dakeapp.com/product/?id=DAKE_Mail_Draft""}",ready for Stripe Payment Link planning
DAKE_Maji_Memo,app,マジでメモ,300,JPY,"保存を気にせず、今の考えをそのまま置いておくメモです。

・保存を気にせず使える実務用メモアプリです。
・閉じても前回のメモがそのまま残ります。
・左の補助メモ、右のメインメモを個別にリフレッシュできます。
・Windows向けexeです。

実務の流れを、
少し静かにするための道具です。",booth_only,stripe_candidate,メモ,https://peakheadz.booth.pm/items/8448021,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Maji_Memo_v1.0.0,DAKE_series,01_apps/DAKE_Maji_Memo/ORIGINAL.md,yes,マジでメモ,300,yes,txcd_10202003,downloadable prewritten software for business use candidate; confirm tax treatment,https://store.dakeapp.com/product/?id=DAKE_Maji_Memo,"{""booth_url"": ""https://peakheadz.booth.pm/items/8448021"", ""dake_item_id"": ""DAKE_Maji_Memo"", ""dake_type"": ""app"", ""github_release_url"": ""https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Maji_Memo_v1.0.0"", ""source_original"": ""01_apps/DAKE_Maji_Memo/ORIGINAL.md"", ""source_repo"": ""DAKE_series"", ""store_url"": ""https://store.dakeapp.com/product/?id=DAKE_Maji_Memo""}",ready for Stripe Payment Link planning
DAKE_Sticky_Memo,app,付箋メモ,300,JPY,アプリ内に付箋を作成し、自由に動かし、不要になったら消せるWindows向け軽量メモアプリです。,booth_only,stripe_candidate,メモ / 付箋,https://peakheadz.booth.pm/items/8448263,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Sticky_Memo_v1.0.0,DAKE_series,01_apps/DAKE_Sticky_Memo/ORIGINAL.md,yes,付箋メモ,300,yes,txcd_10202003,downloadable prewritten software for business use candidate; confirm tax treatment,https://store.dakeapp.com/product/?id=DAKE_Sticky_Memo,"{""booth_url"": ""https://peakheadz.booth.pm/items/8448263"", ""dake_item_id"": ""DAKE_Sticky_Memo"", ""dake_type"": ""app"", ""github_release_url"": ""https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Sticky_Memo_v1.0.0"", ""source_original"": ""01_apps/DAKE_Sticky_Memo/ORIGINAL.md"", ""source_repo"": ""DAKE_series"", ""store_url"": ""https://store.dakeapp.com/product/?id=DAKE_Sticky_Memo""}",ready for Stripe Payment Link planning
DAKE_Yesterday_Task_Memo,app,Dake昨日タスクメモ,300,JPY,"前営業日のメモを見ながら、今日やることを整理します。

・昨日のメモを、今日のタスクに変える実務メモです。
・前営業日のメモを左側に表示します。
・今日のメモ・今日やることを右側で整理できます。
・日付ごとに自動保存します。
・Windows向けexeです。

実務の流れを、
少し静かにするための道具です。",booth_only,stripe_candidate,メモ,https://peakheadz.booth.pm/items/8448291,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Yesterday_Task_Memo_v1.0.0,DAKE_series,01_apps/DAKE_Yesterday_Task_Memo/ORIGINAL.md,yes,Dake昨日タスクメモ,300,yes,txcd_10202003,downloadable prewritten software for business use candidate; confirm tax treatment,https://store.dakeapp.com/product/?id=DAKE_Yesterday_Task_Memo,"{""booth_url"": ""https://peakheadz.booth.pm/items/8448291"", ""dake_item_id"": ""DAKE_Yesterday_Task_Memo"", ""dake_type"": ""app"", ""github_release_url"": ""https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Yesterday_Task_Memo_v1.0.0"", ""source_original"": ""01_apps/DAKE_Yesterday_Task_Memo/ORIGINAL.md"", ""source_repo"": ""DAKE_series"", ""store_url"": ""https://store.dakeapp.com/product/?id=DAKE_Yesterday_Task_Memo""}",ready for Stripe Payment Link planning
dake_booth_assist,app,BOOTHアシスト,300,JPY,"BOOTH登録に必要な商品情報と素材を確認し、開いているBOOTH編集画面への入力作業を補助します。

・DakeBOOTHアシスト
・BOOTH登録用の商品情報と素材を確認
・開いているBOOTH編集画面へ接続して入力作業を補助
・最終公開は人間確認
・Windows向けexe

実務の流れを、
少し静かにするための道具です。",booth_only,stripe_candidate,補助ツール,https://peakheadz.booth.pm/items/8447580,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_BOOTH_Assist_v1.0.0,DAKE_series,01_apps/DAKE_BOOTH_Assist/ORIGINAL.md,yes,BOOTHアシスト,300,yes,txcd_10202003,downloadable prewritten software for business use candidate; confirm tax treatment,https://store.dakeapp.com/product/?id=dake_booth_assist,"{""booth_url"": ""https://peakheadz.booth.pm/items/8447580"", ""dake_item_id"": ""dake_booth_assist"", ""dake_type"": ""app"", ""github_release_url"": ""https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_BOOTH_Assist_v1.0.0"", ""source_original"": ""01_apps/DAKE_BOOTH_Assist/ORIGINAL.md"", ""source_repo"": ""DAKE_series"", ""store_url"": ""https://store.dakeapp.com/product/?id=dake_booth_assist""}",ready for Stripe Payment Link planning
