id,type,title,price,currency,tax_code_candidate,source_original,booth_url,github_release_url,product_name,description_check,metadata_ready,product_payload_sha256,price_payload_sha256,payment_link_payload_sha256,product_idempotency_key,price_idempotency_key,payment_link_idempotency_key,live_dry_run_ready,notes
DAKE_App_Doko,app,アプリどこ,300,jpy,txcd_10202003,01_apps/DAKE_App_Doko/ORIGINAL.md,https://peakheadz.booth.pm/items/8447573,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_App_Doko_v1.0.0,アプリどこ,ok,yes,e67f6c529612bc95d84a94b3db2dc087229618c4604ba4236b1173ec3a64fc13,deba607783c060a3a9a41489310b023bfa3f965242966cbc922ffa6c97fda3b0,e6b2523744afa18f93e7b6c925bba500708c1fd5cf761202823f39fc349ca590,dake-live-product-v1-DAKE_App_Doko-e67f6c529612,dake-live-price-v1-DAKE_App_Doko-deba607783c0,dake-live-link-v1-DAKE_App_Doko-e6b2523744af,yes,ok
DAKE_Backup,app,Dakeバックアップ,500,jpy,txcd_10202003,01_apps/DAKE_Backup/ORIGINAL.md,https://peakheadz.booth.pm/items/8447578,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Backup_v1.0.0,Dakeバックアップ,ok,yes,5a79e4048ca4ffb86c7027acc6712cf2d749f2e56945d7cf5d85f4e49eb33a0c,3abbce0a11bd5e331893a947ba9507c178dbf9b9946bbe9bd7402e316c13c4fb,309eff6b6258141dd644cb011745696cea7568356039072fcff14b1ef3e22a5b,dake-live-product-v1-DAKE_Backup-5a79e4048ca4,dake-live-price-v1-DAKE_Backup-3abbce0a11bd,dake-live-link-v1-DAKE_Backup-309eff6b6258,yes,ok
DAKE_Git_Memo,app,DakeGitメモ,500,jpy,txcd_10202003,01_apps/DAKE_Git_Memo/ORIGINAL.md,https://peakheadz.booth.pm/items/8447593,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Git_Memo_v1.0.0,DakeGitメモ,ok,yes,7ace0c674e21e5799c691868bb0aa8733c92dbe7a95a30e1b6d586558a8f7b74,e84bb74411ad4246a6aa45b36fff530c70fa85b3660749dc04541eada7bf3cde,bcc0e9e1ef2914ea74aa82323eaf79c24a60b82ea5776b1a1b377a28de30627e,dake-live-product-v1-DAKE_Git_Memo-7ace0c674e21,dake-live-price-v1-DAKE_Git_Memo-e84bb74411ad,dake-live-link-v1-DAKE_Git_Memo-bcc0e9e1ef29,yes,ok
DAKE_Image_PasteA4,app,貼る,500,jpy,txcd_10202003,01_apps/DAKE_Image_PasteA4/ORIGINAL.md,https://peakheadz.booth.pm/items/8397628,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Image_PasteA4_v1.0.0,貼る,ok,yes,1f88bb6b89e4efc46d48ea908a37b227da9daf8806d324a6d4dfcf8c32025a2a,ee1475b5988704f7f868bba874050dc3947fce849307ac9be2f9aab903ece288,8d40c42226685d65f2e009a14d0208be5932b9b102bda4f9f36b43cf6b0406fa,dake-live-product-v1-DAKE_Image_PasteA4-1f88bb6b89e4,dake-live-price-v1-DAKE_Image_PasteA4-ee1475b59887,dake-live-link-v1-DAKE_Image_PasteA4-8d40c4222668,yes,ok
DAKE_Mail_Address_Format,app,Dakeメールアドレス整形,300,jpy,txcd_10202003,01_apps/DAKE_Mail_Address_Format/ORIGINAL.md,https://peakheadz.booth.pm/items/8447996,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Mail_Address_Format_v1.0.0,Dakeメールアドレス整形,ok,yes,634ee903b6001222280a76c93b20cf5b6072cfd740d26c8a1653369435aa756e,be0c513e1d4328c86fb125b77d95f4392c719a96ea72116fc08cd271420c042e,312f44985930c21f98895902b9a422621c2aac1d00f554165139ffda253d4b32,dake-live-product-v1-DAKE_Mail_Address_Format-634ee903b600,dake-live-price-v1-DAKE_Mail_Address_Format-be0c513e1d43,dake-live-link-v1-DAKE_Mail_Address_Format-312f44985930,yes,ok
DAKE_Mail_Draft,app,Dakeメール下書き,300,jpy,txcd_10202003,01_apps/DAKE_Mail_Draft/ORIGINAL.md,https://peakheadz.booth.pm/items/8448001,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Mail_Draft_v1.0.0,Dakeメール下書き,ok,yes,8e245af857a42d2e35c3fc7cc0782eea5d127d4e460afd878e86fe8613788cb8,4d2cbc11f52cbc222076fa01a901990fd337f0b04fb1b04a712920e095229274,17fb31637059b421f338cc521d9bfc43fd950d97da0ebc1b2be7d00150606c28,dake-live-product-v1-DAKE_Mail_Draft-8e245af857a4,dake-live-price-v1-DAKE_Mail_Draft-4d2cbc11f52c,dake-live-link-v1-DAKE_Mail_Draft-17fb31637059,yes,ok
DAKE_Maji_Memo,app,マジでメモ,300,jpy,txcd_10202003,01_apps/DAKE_Maji_Memo/ORIGINAL.md,https://peakheadz.booth.pm/items/8448021,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Maji_Memo_v1.0.0,マジでメモ,ok,yes,0e86ea3a1ec7ed6a68cdca05ff1ac86b5a33595381531678e81dfd5cd9999d7b,b016ec426b97f4acf2b791ef65ad363f5df88446c8bc201ecba483eca15dd792,77c4f367d59f587e6c00ab350aa1827afbab980f25864b7e072cc9186d83f517,dake-live-product-v1-DAKE_Maji_Memo-0e86ea3a1ec7,dake-live-price-v1-DAKE_Maji_Memo-b016ec426b97,dake-live-link-v1-DAKE_Maji_Memo-77c4f367d59f,yes,ok
DAKE_Sticky_Memo,app,付箋メモ,300,jpy,txcd_10202003,01_apps/DAKE_Sticky_Memo/ORIGINAL.md,https://peakheadz.booth.pm/items/8448263,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Sticky_Memo_v1.0.0,付箋メモ,ok,yes,4524c8cd7e633648a8ed61c3b9bc17745b26f70e9447ec9d0b2d26d1a973b8c8,a46e6eccfb8bd14eb477282dfb60b6443c63a13f8e6de87eb6dc10e12da4c451,2a605ffbbdcb7358a394dd51a6b5f325fb350ef2412d5d71416df4e8a594ed5f,dake-live-product-v1-DAKE_Sticky_Memo-4524c8cd7e63,dake-live-price-v1-DAKE_Sticky_Memo-a46e6eccfb8b,dake-live-link-v1-DAKE_Sticky_Memo-2a605ffbbdcb,yes,ok
DAKE_Yesterday_Task_Memo,app,Dake昨日タスクメモ,300,jpy,txcd_10202003,01_apps/DAKE_Yesterday_Task_Memo/ORIGINAL.md,https://peakheadz.booth.pm/items/8448291,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Yesterday_Task_Memo_v1.0.0,Dake昨日タスクメモ,ok,yes,c8c0369fed2e4794149df3959102b404520e7c4d0bd34180ac72e72eaeda1500,72ab46af87ca236af27feb792396315f856435b5bf9c55cbbd4d2c56d6c38527,1bb8bf5aa1602605ffcbd52d45b624152cfb6714a895a67d287fa017d34eb49a,dake-live-product-v1-DAKE_Yesterday_Task_Memo-c8c0369fed2e,dake-live-price-v1-DAKE_Yesterday_Task_Memo-72ab46af87ca,dake-live-link-v1-DAKE_Yesterday_Task_Memo-1bb8bf5aa160,yes,ok
dake_booth_assist,app,BOOTHアシスト,300,jpy,txcd_10202003,01_apps/DAKE_BOOTH_Assist/ORIGINAL.md,https://peakheadz.booth.pm/items/8447580,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_BOOTH_Assist_v1.0.0,BOOTHアシスト,ok,yes,85627be289ec12298fb18f69ffd78a2cb90161a492b27b969e8e9a29d29bf726,7e60be90ec3dfae31a925b9aec63538b95770b8a2c8450d099e41c0cea7d9c28,f60edab9fec3ed69ce5abe45ae5f355a47c3f9945922295c2f1dd370fcbedf9a,dake-live-product-v1-dake_booth_assist-85627be289ec,dake-live-price-v1-dake_booth_assist-7e60be90ec3d,dake-live-link-v1-dake_booth_assist-f60edab9fec3,yes,ok
dake_column_memo,app,ずっとメモ,300,jpy,txcd_10202003,01_apps/DAKE_Column_Memo/ORIGINAL.md,https://peakheadz.booth.pm/items/8447582,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Column_Memo_v1.0.0,ずっとメモ,ok,yes,8b31496770c3ae1fc37623a09c2196956f597af6fd75baea9859585250e73ac2,cb6269b4c7c9dc7c6748b14e2160beae66148b7335f43f0f24d5a04ebe9a9c74,fc06c8dab6afcb0889a61d04bb753fa7f39b82ee0ea41e17b413a38319564a40,dake-live-product-v1-dake_column_memo-8b31496770c3,dake-live-price-v1-dake_column_memo-cb6269b4c7c9,dake-live-link-v1-dake_column_memo-fc06c8dab6af,yes,ok
dake_document_cover,app,Dake書類送付状,500,jpy,txcd_10202003,01_apps/DAKE_Document_Cover/ORIGINAL.md,https://peakheadz.booth.pm/items/8447586,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Document_Cover-v1.0.0,Dake書類送付状,ok,yes,5296303beafd47cf23f70c20c1d77ffdf2968355df4abfd4b06e5889eda1fd84,fb2b6b534970e146082147d1a252ee8da48b22d8f90c0fba242e615cb5d4714a,8324cacb8f65c9c0c1b71b9aa696f9b2bf60fb6ef5f141f47652cebfea0be94b,dake-live-product-v1-dake_document_cover-5296303beafd,dake-live-price-v1-dake_document_cover-fb2b6b534970,dake-live-link-v1-dake_document_cover-8324cacb8f65,yes,ok
dake_fax_cover,app,DakeFAX送付状,500,jpy,txcd_10202003,01_apps/DAKE_FAX_Cover/ORIGINAL.md,https://peakheadz.booth.pm/items/8447589,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_FAX_Cover_v1.0.0,DakeFAX送付状,ok,yes,678fccdd4e013242d86edd1bcce3083f521cb0553d2baabfd11de040a9d2a4fd,62046f34ca25d0721d8ff0e551fb985c93dc9cf13afa09ded7347d7262f15895,6b426ac6abdf5aa4f0f68f1ad4449f1670c32806f8d928c13caa4c3f8f88e437,dake-live-product-v1-dake_fax_cover-678fccdd4e01,dake-live-price-v1-dake_fax_cover-62046f34ca25,dake-live-link-v1-dake_fax_cover-6b426ac6abdf,yes,ok
dake_folder_list,app,Dakeフォルダ一覧,300,jpy,txcd_10202003,01_apps/DAKE_Folder_List/ORIGINAL.md,https://peakheadz.booth.pm/items/8447591,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Folder_List_v1.0.0,Dakeフォルダ一覧,ok,yes,8adb058cdde70eb9e9cf03d971853de7ad3db7a3ffca7de24bbf43b802041f91,f816be9795be49200edf479502d876b7898a02212085079fcba124e764a14b9d,cd9a541bd7fbd99b48ecbab1c679f3a8de7d80e801ff594354c9b077b0fdcbd0,dake-live-product-v1-dake_folder_list-8adb058cdde7,dake-live-price-v1-dake_folder_list-f816be9795be,dake-live-link-v1-dake_folder_list-cd9a541bd7fb,yes,ok
dake_image_heictojpg,app,HEIC→JPG変換,500,jpy,txcd_10202003,01_apps/DAKE_Image_HEICtoJPG/ORIGINAL.md,https://peakheadz.booth.pm/items/8447596,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Image_HEICtoJPG_v1.0.0,HEIC→JPG変換,ok,yes,e8a161b9bbd787cf7cd4e0df356005e6e03deabfc9dbc662f8178dae13b76a5e,c2e20e5fbdbdbe002383cd3fda5b49cd43b59316e7cd1811856df41e3106de6e,31732c223cb0f2c4235f275ae6e8bd2bdc6b3ef651862151183616ac3dca9960,dake-live-product-v1-dake_image_heictojpg-e8a161b9bbd7,dake-live-price-v1-dake_image_heictojpg-c2e20e5fbdbd,dake-live-link-v1-dake_image_heictojpg-31732c223cb0,yes,ok
dake_image_iphonetopc,app,Dake画像iPhoneToPC,500,jpy,txcd_10202003,01_apps/DAKE_Image_iPhoneToPC/ORIGINAL.md,https://peakheadz.booth.pm/items/8447598,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Image_iPhoneToPC_v1.0.0,Dake画像iPhoneToPC,ok,yes,b59effa46ca809d78254063442b4ed23121a2d680b7870ab13a90e10b49f51c4,786214ab9195d4de60198bacaa236e912ce7598dbbe654bbd53edcefdeba8f90,130be0db1a6bfe0b9ca16f8e81c7e13941c1c75ea907e3a07cf7b61229d5a14f,dake-live-product-v1-dake_image_iphonetopc-b59effa46ca8,dake-live-price-v1-dake_image_iphonetopc-786214ab9195,dake-live-link-v1-dake_image_iphonetopc-130be0db1a6b,yes,ok
dake_image_receiver,app,DakeImage_Receiver,500,jpy,txcd_10202003,01_apps/DAKE_Image_Receiver/ORIGINAL.md,https://peakheadz.booth.pm/items/8447600,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Image_Receiver_v1.0.0,DakeImage_Receiver,ok,yes,db45edf6dfc991d1e85222d3a5d8146bb3fe6d748d72f5357857bf78fe73d5ad,4ce97222e76d3042526fc012e6c224f32b3662346489467e68406b7aafa8e1fb,eef1dd1253446cca9b4989ccbab95df2be9c9f56db19b539ddc5e53298458d82,dake-live-product-v1-dake_image_receiver-db45edf6dfc9,dake-live-price-v1-dake_image_receiver-4ce97222e76d,dake-live-link-v1-dake_image_receiver-eef1dd125344,yes,ok
dake_image_topdf,app,DakeImageToPDF,500,jpy,txcd_10202003,01_apps/DAKE_Image_ToPDF/ORIGINAL.md,https://peakheadz.booth.pm/items/8397610,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Image_ToPDF_v1.0.0,DakeImageToPDF,ok,yes,9b6f33b50398e0c63e65d8f476b85cc60e6e50ef4b4b071b24e1c363fcc5216c,114682fa919b4516f4b5d2f4c13e769d9e9ab37dd36183c50f07079801f06f67,22ae5770b9ccac772748bc8230a735e99557a9a0968ccb077137e9f95a950580,dake-live-product-v1-dake_image_topdf-9b6f33b50398,dake-live-price-v1-dake_image_topdf-114682fa919b,dake-live-link-v1-dake_image_topdf-22ae5770b9cc,yes,ok
